timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,attitude_q0,attitude_q1,attitude_q2,attitude_q3,source_simulator
2026-01-01T00:00:00,-10.113428,14.443472,-1836.765371,1.338645565,0.937329716,-0.000000000,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:05,-3.420060,19.129873,-1836.747208,1.338697278,0.937227686,0.007265163,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:10,3.273501,23.815718,-1836.692719,1.338722512,0.937107120,0.014530182,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:15,9.967121,28.500913,-1836.601906,1.338721268,0.936968021,0.021794913,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:20,16.660669,33.185367,-1836.474771,1.338693543,0.936810392,0.029059213,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:25,23.354013,37.868986,-1836.311315,1.338639339,0.936634236,0.036322937,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:30,30.047019,42.551679,-1836.111543,1.338558656,0.936439559,0.043585942,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:35,36.739555,47.233351,-1835.875457,1.338451495,0.936226364,0.050848083,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:40,43.431489,51.913911,-1835.603064,1.338317857,0.935994657,0.058109218,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:45,50.122689,56.593267,-1835.294367,1.338157746,0.935744443,0.065369201,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:50,56.813023,61.271325,-1834.949374,1.337971163,0.935475727,0.072627890,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:00:55,63.502357,65.947993,-1834.568091,1.337758111,0.935188516,0.079885140,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:00,70.190560,70.623179,-1834.150525,1.337518596,0.934882816,0.087140809,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:05,76.877499,75.296791,-1833.696685,1.337252620,0.934558634,0.094394751,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:10,83.563042,79.968735,-1833.206581,1.336960188,0.934215977,0.101646824,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:15,90.247057,84.638920,-1832.680220,1.336641307,0.933854852,0.108896884,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:20,96.929411,89.307253,-1832.117615,1.336295981,0.933475267,0.116144787,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:25,103.609972,93.973642,-1831.518776,1.335924217,0.933077231,0.123390390,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:30,110.288609,98.637994,-1830.883716,1.335526022,0.932660752,0.130633549,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:35,116.965189,103.300218,-1830.212445,1.335101404,0.932225839,0.137874121,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:40,123.639579,107.960222,-1829.504979,1.334650370,0.931772501,0.145111962,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:45,130.311648,112.617913,-1828.761330,1.334172929,0.931300749,0.152346929,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:50,136.981264,117.273199,-1827.981515,1.333669090,0.930810591,0.159578879,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:01:55,143.648295,121.925988,-1827.165547,1.333138862,0.930302040,0.166807669,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:00,150.312609,126.576188,-1826.313443,1.332582256,0.929775104,0.174033155,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:05,156.974074,131.223708,-1825.425221,1.331999281,0.929229797,0.181255194,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:10,163.632558,135.868456,-1824.500897,1.331389950,0.928666128,0.188473644,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:15,170.287929,140.510339,-1823.540491,1.330754273,0.928084111,0.195688360,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:20,176.940057,145.149266,-1822.544020,1.330092264,0.927483756,0.202899201,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:25,183.588808,149.785146,-1821.511506,1.329403933,0.926865078,0.210106024,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:30,190.234052,154.417887,-1820.442967,1.328689296,0.926228088,0.217308686,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:35,196.875657,159.047396,-1819.338426,1.327948365,0.925572801,0.224507044,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:40,203.513492,163.673584,-1818.197904,1.327181154,0.924899229,0.231700955,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:45,210.147425,168.296358,-1817.021424,1.326387679,0.924207388,0.238890278,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:50,216.777325,172.915628,-1815.809009,1.325567954,0.923497290,0.246074869,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:02:55,223.403061,177.531301,-1814.560683,1.324721996,0.922768952,0.253254588,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:00,230.024501,182.143287,-1813.276472,1.323849821,0.922022389,0.260429290,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:05,236.641515,186.751494,-1811.956399,1.322951445,0.921257615,0.267598835,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:10,243.253972,191.355833,-1810.600492,1.322026886,0.920474647,0.274763080,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:15,249.861741,195.956211,-1809.208777,1.321076163,0.919673501,0.281921884,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:20,256.464690,200.552537,-1807.781283,1.320099292,0.918854193,0.289075104,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:25,263.062690,205.144722,-1806.318036,1.319096294,0.918016742,0.296222599,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:30,269.655610,209.732675,-1804.819066,1.318067187,0.917161163,0.303364228,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:35,276.243318,214.316304,-1803.284404,1.317011992,0.916287474,0.310499849,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:40,282.825686,218.895519,-1801.714078,1.315930729,0.915395694,0.317629320,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:45,289.402582,223.470231,-1800.108121,1.314823419,0.914485841,0.324752502,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:50,295.973877,228.040347,-1798.466564,1.313690083,0.913557934,0.331869251,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:03:55,302.539440,232.605780,-1796.789439,1.312530744,0.912611992,0.338979429,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:00,309.099141,237.166437,-1795.076781,1.311345425,0.911648034,0.346082893,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:05,315.652851,241.722230,-1793.328622,1.310134147,0.910666080,0.353179503,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:10,322.200439,246.273068,-1791.544997,1.308896936,0.909666151,0.360269119,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:15,328.741777,250.818862,-1789.725943,1.307633814,0.908648266,0.367351600,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:20,335.276734,255.359521,-1787.871493,1.306344807,0.907612447,0.374426806,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:25,341.805182,259.894956,-1785.981687,1.305029939,0.906558715,0.381494598,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:30,348.326991,264.425078,-1784.056560,1.303689237,0.905487092,0.388554834,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:35,354.842031,268.949797,-1782.096151,1.302322726,0.904397600,0.395607375,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:40,361.350175,273.469025,-1780.100499,1.300930433,0.903290260,0.402652082,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:45,367.851293,277.982670,-1778.069644,1.299512386,0.902165096,0.409688815,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:50,374.345256,282.490646,-1776.003625,1.298068611,0.901022131,0.416717434,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:04:55,380.831936,286.992862,-1773.902483,1.296599138,0.899861387,0.423737801,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
2026-01-01T00:05:00,387.311204,291.489230,-1771.766261,1.295103994,0.898682890,0.430749777,1.0,0.0,0.0,0.0,NASA 42-compatible Lunar Prospector baseline
